MD5,pdfsize,metadata size,pages,xref length,title characters,isEncrypted,embedded files,images,contains text,	header,obj,endobj,stream,endstream,xref,trailer,startxref,pageno,Encrypt,ObjStm,JS,JavaScript,AA,OpenAction,AcroForm,JBIG2Decode,RichMedia,Launch,EmbeddedFile,XFA,URI,Colors
52faa2acf60138f2ce9a5e8492d1a242,59,299,6,93,6,0,0,-1,Yes,	%PDF-1.3,92,92,11,11,2,2,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0
a15ef07b87c2763465167e3c554dcfa2,30,316,9,49,28,0,0,-1,Yes,	%PDF-1.4,48,48,12,12,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0
1278b826f08a39cdab1c1b2c67d4f3e2,16,363,2,66,64,0,0,-1,Yes,	%PDF-1.4,26,26,7,7,2,2,2,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0
307d5435ffbe1d7c7e85cd71637f07fb,11,229,1,12,0,0,0,-1,Yes,	%PDF-1.1,11,11,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
e14db6fb679a5f1b2d3d2a3612a473a6,30,326,7,138,14,0,0,-1,Yes,	%PDF-1.4,36,36,12,12,2,2,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0
1066a379742d68b7a914dde7e073d39e,277,351,1,435,31,0,0,-1,Yes,	%PDF-1.6,131,131,128,128,0,0,2,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0bca594457bf0ab9a79287dbea00aa30,29,318,4,36,28,0,0,-1,Yes,	%PDF-1.4,35,35,8,8,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
2d7949fa356c47081162264dcffb2058,20,316,6,38,28,0,0,-1,Yes,	%PDF-1.4,37,37,9,9,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0
18418bf3bb562f1036045d0d7c9f1f54,28,229,15,56,0,0,0,-1,Yes,	%PDF-1.1,55,55,15,15,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0
